adult;backdrop_path;genre_ids;id;original_language;original_title;overview;popularity;poster_path;release_date;title;video;vote_average;vote_count
False;/1sEpN1Y4ptJyJKEgcWVrIp2O3Ds.jpg;[80, 53];428015;en;Wolf Mother;In an attempt to rectify their criminal past, a once successful Hollywood starlet, turn prostitute, and a petty, misogynistic thief, set out together to solve a high profile child abduction case in San Francisco.;2.456;/vaMoYRZQorzKYX4fQsL6qf5f6kk.jpg;2016-06-02;Wolf Mother;False;4.6;10
False;/eN4V2Tx5BIIAyA4RXYEGMG8HXmK.jpg;[53];446908;en;Bad Twin;A radio host takes in her troubled sister’s twin daughters, unknowingly putting her family, her friends, and herself at risk.;1.887;/dLF080GXTkXzuJPoWTwOifYkRak.jpg;2016-12-29;Bad Twin;False;5.7;19
False;/bOr6lbKIEDUwEwDI1RTBkTLQ731.jpg;[99];392734;en;Jeremiah Tower: The Last Magnificent;The life of Jeremiah Tower, one of the most controversial, outrageous, and influential figures in the history of American gastronomy.;3.122;/nzJMoWDH9lWT23mYpduK7tEUBxs.jpg;2016-07-29;Jeremiah Tower: The Last Magnificent;False;6.5;4
False;/8uxkykAyxJl53JjFFqHEHh3WeSe.jpg;[53, 10770];385931;en;Wrong Swipe;When Anna has a difficult time getting close to people, her sister creates a dating profile for her online. Anna starts to message a handsome man until she starts getting disturbing messages that a match is close by.;3.128;/5GBcD29pOFXIwxKc00nRrAq50Vt.jpg;2016-03-06;Wrong Swipe;False;5.9;13
False;/qQHYk4Rv0XVAAGmlifvAfBB4YSX.jpg;[9648, 10751, 10770];374739;en;Flower Shop Mystery: Mum's the Word;Abby Knight, a former lawyer turned proud flower shop owner is starting over after the death of her husband with the support from her father, a new business and her daughter off to college. Life is good in the peaceful town of New Chapel but when a black SUV rams her prized vintage car, she’s determined to track down the driver. She begrudgingly accepts the help of a new neighbor, the handsome and charming ex-Marine Marco Salvare who just bought the bar down the street.;5.094;/yybzcfZJkgGWEnuuZTcBNKh2gXU.jpg;2016-01-17;Flower Shop Mystery: Mum's the Word;False;6.6;17
False;/4vstNtgKQR8KQOf2czO3luqMrJ9.jpg;[35];421111;en;My Dead Boyfriend;Mary’s life has been defined by a string of temp jobs and a half-hearted attempt to become a writer.  But all that changes when she comes home to find her boyfriend dead in front of the TV set.  During her misadventures in trying to get rid of his ashes, Mary discovers that there was much more to her couch potato boyfriend than she ever thought imaginable.;2.889;/jDIqQoXyswo7bxPeH90BMH7Gwaq.jpg;2016-11-04;My Dead Boyfriend;False;4.2;9
False;/6bAfhcvDTJGvsy4NC8d3TwenEdG.jpg;[35, 10770, 10749];393656;en;Date with Love;When a boy’s video to a female star goes viral, it scores him a date with his celebrity crush to the prom. Complications arise when the famous starlet falls for the boy’s small-town teacher.;4.597;/1PNd2Pq40EMcekkcgpQuy1lf7Yc.jpg;2016-05-21;Date with Love;False;6.3;49
False;/uidMruJREZGam35JBwIgazTLFiS.jpg;[99];384289;en;Peter and the Farm;Peter Dunning is a rugged individualist in the extreme, a hard-drinking loner and former artist who has burned bridges with his wives and children and whose only company, even on harsh winter nights, are the sheep, cows, and pigs he tends on his Vermont farm. Peter is also one of the most complicated, sympathetic documentary subjects to come along in some time, a product of the 1960s counterculture whose poetic idealism has since soured. For all his candor, he slips into drunken self-destructive habits, cursing the splendors of a pastoral landscape that he has spent decades nurturing.;2.381;/wBvhozydgxL3TOrVA4mERqC8QrN.jpg;2016-11-04;Peter and the Farm;False;7.4;10
False;/iTD9XtFM29XfptYiMlf1ZuhLkfg.jpg;[80, 9648, 53];385363;en;Hollow Creek;Trying to find inspiration for his next horror novel, Blake retreats to the Appalachian Mountains with his mistress, Angelica. Upon arrival they learn about the case of several missing boys in the area. When Angelica follows a lead to one of the missing boys and disappears, Blake becomes a prime suspect.;2.773;/inAiwHac9xR2uaE1NNLjMTuNUyJ.jpg;2016-02-01;Hollow Creek;False;4.3;11
False;/cnQfMhaMKLcpouKMMwdG8bUVTSQ.jpg;[80, 53];370928;en;Nightmare Nurse;After Brooke and her boyfriend Lance have a car accident, Lance’s leg injury requires him to be bedridden with at-home care. When an attractive nurse, Chloe, is recommended to them, she seems perfect for the task. However, when her troubled past comes to light, it becomes apparent to the happy couple that someone is out to destroy their lives.;4.379;/ocPUwQis7LENRsDU1R8IAH0T70f.jpg;2016-02-27;Nightmare Nurse;False;6.0;14
False;/pT9vBaWZqrTC0ExZF9OCsa6p5zK.jpg;[27];421601;en;Bornless Ones;With the help of her friends, Emily moves to a remote home to take better care of her brother, Zack who is diagnosed with cerebral palsy. But what they don't know is that the house kept a terrifying secret that will haunt them one by one.;3.361;/4V52bmZg4tR96hiuNX3r5h08GvN.jpg;2017-02-10;Bornless Ones;False;4.8;28
False;/aqHgs7Ikj4KbVNvLnG00SPEn30y.jpg;[12];388259;en;Against the Wild II: Survive the Serengeti;Two kids and their dog must use all their skills to survive in the African bush after a plane crash.;3.352;/kzTSL44iMUBaGtnsGyBV1No4oLz.jpg;2016-02-26;Against the Wild II: Survive the Serengeti;False;5.6;9
False;/3xY6yftacoSxtkrgiRhDnT6nU0R.jpg;[35, 10749, 10770];421625;en;My Christmas Love;"A hopeless romantic who can’t ever seem to give a guy a real chance begins receiving each of the ""12 Days of Christmas” as gifts anonymously at her door. As she tries to figure out who is sending the gifts, she begins to believe that the mystery suitor could finally live up to her expectations.";5.796;/bVCKFvwrM1zOAWSujv7wPwlCcD0.jpg;2016-12-17;My Christmas Love;False;6.0;31
False;/fgeCOYW9K67Jec8VQc3E4qKp45X.jpg;[53, 28];417004;en;The Escape;After the controversial disappearance of their Chief Medical Officer, a shadowy bio genetics company is under siege by the FBI for secretly cloning humans. Amidst the chaos, Molgen’s head mercenary Holt (Jon Bernthal) is sneaking out the last living clone, a young woman named Lily (Dakota Fanning) to a mysterious buyer. Holt has hired The Driver (Clive Owen), accompanied by a heavily armed squadron of fellow Molgen mercenaries, to evade the authorities and deliver Lily and himself to the buyer. The journey takes an unexpected turn and Holt is forced to take matters into his own hands, as the driver once again demonstrates his mettle and extraordinary driving skills.;3.632;/rovbuGqNoLzXzbO4AgAGRu2tO5k.jpg;2016-10-23;The Escape;False;6.6;14
False;/b9tqUFIflAOFIt4dXiLTLRqQmvI.jpg;[35];334893;en;ChickLit;ChickLit is a comedy drama about four guys trying to save their local pub from closing down. They group write a chick lit, or more specifically a 'mummy porn' novel in the style of 'Fifty Shades of Grey' and it gets snapped up. The only snag is that the publisher insists that the young woman 'author' does press and publicity. The guys have to keep their involvement a secret and so engage an out of work actress to 'role play' the part of the author. This leads to her becoming the star in the film of the book, the tables are turned on the guys and she is in control - leaving them with the awful prospect of having to secretly churn out sex novels for the foreseeable future.;2.388;/hMib7R5YQGYcxL1Clq3F2Fywh4E.jpg;2016-09-23;ChickLit;False;6.6;5
False;/u0hQclT1t7VVG0VtenyJ2faZdiP.jpg;[18];356889;en;The Great & The Small;Twenty-six year old Scott is living on the streets and trying to find his way back into society while on probation for petty crimes. He attempts to navigate his relationship with his two bit criminal of a boss and an enigmatic detective, while at the same time winning back the heart of his ex-girlfriend, a working single mom. Never having a mother or father himself, Scott discovers the true meaning of fatherhood.;1.76;/gZ7BQrhRvPcDkkptEHg7f6DQ62D.jpg;2016-03-31;The Great & The Small;False;6.8;5
False;;[14, 28, 12];298025;en;Dark Ascension;"The gates of Heaven &amp; Hell have been broken and the afterlife is in ruins. One group of new arrivals must find a way to put things right to prevent an eternal battle between good &amp; evil.";2.385;/7aJtmCmay0OMWYZxx1HQiUU5zFr.jpg;2016-10-01;Dark Ascension;False;3.6;18
False;/dAPWKj91GBGF32PZaSL6Zq4AY41.jpg;[18];257258;en;Sold;"Lakshmi is a thirteen-year-old girl who lives with her family in a small hut on a mountain in Nepal. When the Himalayan monsoons wash away all that remains of the family's crops, Lakshmi's father says she must leave home and take a job to support her family. He introduces her to a glamorous stranger who tells her she will find her a job as a maid in the city. Glad to be able to help, Lakshmi journeys to India and arrives at ""Happiness House"" full of hope. But she soon learns the unthinkable truth: she has been sold into prostitution...";3.503;/rCFjPoozGvEXvSKVcglERJD8puR.jpg;2016-04-01;Sold;False;6.8;24
False;/nzyH5neQxcFVAiTdjfTPSpF7LGD.jpg;[18];408539;ru;Рай;The historical drama set during the Second World War centres on three people whose paths cross: a Russian aristocratic emigrant and member of the French resistance, a French collaborator and a high-ranking German SS officer.;2.249;/lSOAIq9PKkmpSSVmXemgQkCPRb0.jpg;2016-10-16;Paradise;False;8.0;20
False;/31HGA4A8AAP5BewfbjoBxTylkgl.jpg;[99];369769;de;Im Strahl der Sonne;"Over the course of one year, this film follows the life of an ordinary Pyongyang family whose daughter was chosen to take part in one of the famous Korean ""Spartakiads"". The ritualized explosions of color and joy contrast sharply with pale everyday reality, which is not particularly terrible, but rather quite surreal, like a typical life as seen ""through the looking glass"".";3.523;/xGPlH8F8R1VWaG3qwPYwRTDoF07.jpg;2016-07-06;Under the Sun;False;7.5;53
False;;[99];364257;en;Queen Mimi;"Forced  onto  the  streets  in  her  50s,  Mimi  found  ""home""  at  a  Santa  Monica laundromat. Taking shelter there for 20 years, Mimi's passion for pink, and living without  looking  back,  has  taken  her  from  homelessness  to  Hollywood's  red carpets. This is the fascinating and moving story of one incredibly strong woman’ s survival against all odds.";1.988;/msjh6lBy55jcxE3oHFaJUQA5qoU.jpg;2016-05-13;Queen Mimi;False;6.8;8
False;/lB73FWGkkeFRysQMZQlLNfvbPKu.jpg;[99];381024;en;Orange Sunshine;The never-before-told story of the Brotherhood of Eternal Love – a spiritual group of surfers and hippies in Southern California that became the largest suppliers of psychedelic drugs in the world during the 1960s and early 1970s. Bonded by their dreams to fight social injustice and spread peace, this unlikely band of free-spirited idealists quickly transformed into a drug-smuggling empire and at the same time inadvertently invented the modern illegal drug trade. At the head of the Brotherhood, and the heart of this story, is the anti-capitalistic husband and wife team, who made it their mission to change the world through LSD.;3.968;/pElD520j1jgANaPUIm6qkR4ThEY.jpg;2016-03-14;Orange Sunshine;False;7.9;7
