adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/hqkIcbrOHL86UncnHIsHVcVmzue.jpg,"[28, 80, 18, 53]",155,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",44.61,/pKKvCaL1TPTVtbI6EeliyND3api.jpg,2008-07-18,The Dark Knight,False,8.4,20279
False,/ZQixhAZx6fH1VNafFXsqa1B8QI.jpg,"[28, 12, 878]",1726,en,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",32.959,/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,2008-05-02,Iron Man,False,7.6,16901
False,/mBLimfLfAcAhKTSf6d2lU8fNNuJ.jpg,"[28, 12, 80, 53]",13387,en,Transporter 3,"Frank Martin puts the driving gloves on to deliver Valentina, the kidnapped daughter of a Ukranian government official, from Marseilles to Odessa on the Black Sea. En route, he has to contend with thugs who want to intercept Valentina's safe delivery and not let his personal feelings get in the way of his dangerous objective.",21.372,/d3rokRfJUtSg3wFaTdUKKodhfaA.jpg,2008-12-05,Transporter 3,False,6.1,1909
False,/nEdBHjvRkKwEPD1Ps5A3rRiiLVN.jpg,"[18, 14, 10749]",8966,en,Twilight,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan.",24.897,/lcMp3AONdNhjYE9MmTtMMTOiRDP.jpg,2008-11-21,Twilight,False,6.0,7967
False,/4gxJjq0Vg1mqkboYB9f92CTIsRu.jpg,"[16, 10751]",12429,ja,崖の上のポニョ,"The son of a sailor, 5-year old Sosuke lives a quiet life on an oceanside cliff with his mother Lisa. One fateful day, he finds a beautiful goldfish trapped in a bottle on the beach and upon rescuing her, names her Ponyo. But she is no ordinary goldfish. The daughter of a masterful wizard and a sea goddess, Ponyo uses her father's magic to transform herself into a young girl and quickly falls in love with Sosuke, but the use of such powerful sorcery causes a dangerous imbalance in the world. As the moon steadily draws nearer to the earth and Ponyo's father sends the ocean's mighty waves to find his daughter, the two children embark on an adventure of a lifetime to save the world and fulfill Ponyo's dreams of becoming human.",26.821,/3s0mpSpLkI7cIhqWGrGbsiyvlsH.jpg,2009-08-14,Ponyo,False,7.6,1895
False,/hfZVY8lMiE7HH1cDc2qzSFF6Kbt.jpg,"[28, 12, 80, 53]",10764,en,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",27.964,/6mlNx0Jiqhg3D7NlANT9pidsgPJ.jpg,2008-10-31,Quantum of Solace,False,6.2,4751
False,/2nFyTvssbtJMLC6eyYwwZ88gALD.jpg,"[16, 878, 10751]",10681,en,WALL·E,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",20.853,/9cJETuLMc6R0bTWRA5i7ctY9bxk.jpg,2008-06-22,WALL·E,False,8.0,11585
False,/73QE77hOalLxUiheYJrk9XwHL4h.jpg,"[28, 53]",7555,en,Rambo,"When governments fail to act on behalf of captive missionaries, ex-Green Beret John James Rambo sets aside his peaceful existence along the Salween River in a war-torn region of Thailand to take action.  Although he's still haunted by violent memories of his time as a U.S. soldier during the Vietnam War, Rambo can hardly turn his back on the aid workers who so desperately need his help.",23.833,/ec1m7YgBYb4os06OSNW3QBaNYqZ.jpg,2008-01-25,Rambo,False,6.5,1947
False,/cVpBJxRBIwTjajKQ08TE6BINTEu.jpg,"[878, 28, 12]",1724,en,The Incredible Hulk,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",22.37,/gCQ4e8klADtzoa6bL7XLPnjiUIg.jpg,2008-06-12,The Incredible Hulk,False,6.2,6860
False,/anxiz37Z9FPKeuCsJcxViSWmPxg.jpg,"[16, 35, 10751]",10527,en,Madagascar: Escape 2 Africa,"Alex, Marty, and other zoo animals find a way to escape from Madagascar when the penguins reassemble a wrecked airplane. The precariously repaired craft stays airborne just long enough to make it to the African continent. There the New Yorkers encounter members of their own species for the first time. Africa proves to be a wild place, but Alex and company wonder if it is better than their Central Park home.",22.338,/9mohxwknsHcwFBSAAhoQXwFV5zn.jpg,2008-11-06,Madagascar: Escape 2 Africa,False,6.4,4108
False,/bfRgom0djZB8z7qbtjM542j3xrT.jpg,"[18, 878, 53]",10200,en,The Day the Earth Stood Still,"A representative of an alien race that went through drastic evolution to survive its own climate change, Klaatu comes to Earth to assess whether humanity can prevent the environmental damage they have inflicted on their own planet. When barred from speaking to the United Nations, he decides humankind shall be exterminated so the planet can survive.",17.572,/7fNFk4EAGbuRFqrSJprgXEIX5Za.jpg,2008-12-12,The Day the Earth Stood Still,False,5.4,1884
False,/yjImlENdW0SAT5yUvxCbbFdY0Sn.jpg,"[16, 10751]",13004,en,Barbie and the Diamond Castle,"Liana and Alexa (Barbie and Teresa) are best friends who share everything, including their love of singing. One day while walking through the forest home from the village, the girls meet an old beggar who gives them a magical mirror. As they clean the mirror and sing, a musical apprentice muse named Melody appears in the mirror's surface, and tells the girls about the secret of the Diamond Castle.",22.008,/dvjFM3GgYm3gDZ6Ulw0JurDYs4r.jpg,2008-09-09,Barbie and the Diamond Castle,False,7.1,419
False,/kEgr8FGXavizdpsZ4LwWpmkDy3L.jpg,"[12, 16, 18, 14, 10751]",25741,en,Niko: Lentäjän poika,"A young reindeer who suffers from vertigo learns to overcome his fear, takes flying lessons from a clumsy flying squirrel and heads to the North pole to save a troubled Santa and his fleet of flying reindeer.",23.24,/7r4Z2bDmjvTY4hHbhCQqqALS3hl.jpg,2008-09-22,The Flight Before Christmas,False,5.5,77
False,/m9vS8UfYd9XZedhO7ifpAznxSOj.jpg,"[28, 12]",217,en,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",19.638,/qY1x6v5daMDTr904G3y84WVgpfC.jpg,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,False,5.9,4826
False,/3iPnZOXR9mpcK8RwvAW7b7Axr8v.jpg,"[18, 53, 10752]",12162,en,The Hurt Locker,"Forced to play a dangerous game of cat-and-mouse in the chaos of war, an elite Army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb.",16.395,/3ZEqU9Ykmn8zGDUwWnmTfHaaWRB.jpg,2009-06-25,The Hurt Locker,False,7.3,3284
False,/caB8JFUigSHdGsdxOxaK4vZtOiN.jpg,"[28, 12, 14]",1735,en,The Mummy: Tomb of the Dragon Emperor,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",17.237,/53hrZvxiV3HgG6pdhuMeErIc7Hg.jpg,2008-07-31,The Mummy: Tomb of the Dragon Emperor,False,5.3,2740
False,/w7oBCXL7gAwmYD7g0W17q8q1Ozc.jpg,[18],13223,en,Gran Torino,"Widower Walt Kowalski is a grumpy, prejudiced, tough-minded, unhappy, old, Korean War veteran who can't get along with either his kids or his neighbours. His prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbour, Thao—a young Hmong teenager under pressure from his gang member cousin—tries to steal his Gran Torino, Walt sets out to reform the youth and takes steps to protect Thao and his family from the gangs that infest their neighborhood.",12.235,/9ip2LgCyVMdovhJqY4mttTWfyo6.jpg,2008-12-09,Gran Torino,False,8.0,6274
False,/11ssxHGdYFKiRcfsC84ar8HcSYX.jpg,"[12, 28, 18, 14]",7840,en,"10,000 BC",A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,13.979,/rnGR3EHkL4ryhQd50XBrtRrV8nq.jpg,2008-03-05,"10,000 BC",False,5.3,1765
