adult;budget;genre_id;genre_name;id;original_language;original_title;popularity;revenue;runtime;status;vote_average;vote_count
False;200000000;28.0;Action;283995;en;Guardians of the Galaxy Vol. 2;41.423;863756051;137;Released;7.7;13591
False;200000000;12.0;Adventure;283995;en;Guardians of the Galaxy Vol. 2;41.423;863756051;137;Released;7.7;13591
False;200000000;35.0;Comedy;283995;en;Guardians of the Galaxy Vol. 2;41.423;863756051;137;Released;7.7;13591
False;200000000;878.0;Science Fiction;283995;en;Guardians of the Galaxy Vol. 2;41.423;863756051;137;Released;7.7;13591
False;200000000;14.0;Fantasy;181808;en;Star Wars: The Last Jedi;46.906;1332459537;152;Released;7.0;9271
False;200000000;12.0;Adventure;181808;en;Star Wars: The Last Jedi;46.906;1332459537;152;Released;7.0;9271
False;200000000;878.0;Science Fiction;181808;en;Star Wars: The Last Jedi;46.906;1332459537;152;Released;7.0;9271
False;200000000;28.0;Action;181808;en;Star Wars: The Last Jedi;46.906;1332459537;152;Released;7.0;9271
False;180000000;28.0;Action;284053;en;Thor: Ragnarok;36.95;853977126;131;Released;7.5;12564
False;180000000;12.0;Adventure;284053;en;Thor: Ragnarok;36.95;853977126;131;Released;7.5;12564
False;180000000;35.0;Comedy;284053;en;Thor: Ragnarok;36.95;853977126;131;Released;7.5;12564
False;180000000;14.0;Fantasy;284053;en;Thor: Ragnarok;36.95;853977126;131;Released;7.5;12564
False;150000000;878.0;Science Fiction;335984;en;Blade Runner 2049;35.688;259239658;163;Released;7.4;7373
False;150000000;18.0;Drama;335984;en;Blade Runner 2049;35.688;259239658;163;Released;7.4;7373
False;500000000;28.0;Action;141052;en;Justice League;28.076;657924295;120;Released;6.2;8157
False;500000000;12.0;Adventure;141052;en;Justice League;28.076;657924295;120;Released;6.2;8157
False;500000000;14.0;Fantasy;141052;en;Justice League;28.076;657924295;120;Released;6.2;8157
False;500000000;878.0;Science Fiction;141052;en;Justice League;28.076;657924295;120;Released;6.2;8157
False;175000000;28.0;Action;315635;en;Spider-Man: Homecoming;33.54;880166924;133;Released;7.4;12952
False;175000000;12.0;Adventure;315635;en;Spider-Man: Homecoming;33.54;880166924;133;Released;7.4;12952
