adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/zaVBBLjYV7FkpQvZGKG1F4PPGC8.jpg,[16],434757,pt,Barbie Video Game Hero,"Get ready to power up! When Barbie magically gets pulled into her favorite video game, she is excited to see she's transformed into a fun roller-skating character. In the game, she meets Cutie, the lovable cloud-shaped friend, and Bella, the roller-skating princess. Together, they soon discover a mischievous emoji is trying to take control of the game. As they travel from level to level, Barbie must rely on her amazing gaming skills and out-of-the box thinking to save her team and beat the game!",7.091,/fByc0TUhm31qWVYnvvmzpGKnefZ.jpg,2017-02-01,Barbie Video Game Hero,False,6.2,57
False,/c4jwzF8rAD3c2YpPlRwrDAxWzT3.jpg,"[28, 10751, 14, 12, 35]",471968,ru,Последний богатырь,"Ivan is an ordinary guy who is transferred from modern Moscow to the fantasy world Belogorye. In this parallel universe where characters of Russian fairy tales live, magic is an integral part of daily life, and arguments are settled with the help of sword . Unexpectedly, Ivan finds himself in the middle of a battle between good and evil, and he must discover why everyone thinks that he must play the main role in upcoming events...",5.936,/ynMOyBo8xrWQiMvMJUhge4hVlse.jpg,2018-09-30,The Last Warrior,False,6.8,60
False,/kdiMDVw8WrZyb2pQqmgHXLtqTm3.jpg,"[18, 27, 53]",438436,en,Most Beautiful Island,Most Beautiful Island is a chilling portrait of an undocumented young woman's struggle for survival as she finds redemption from a tortured past in a dangerous game.,5.746,/g8RFV3wqigvgXqcVihyz6w0cLLV.jpg,2017-11-03,Most Beautiful Island,False,5.4,51
False,/cxeYjWtq97AwqMMlGhWWYSy5uci.jpg,"[10751, 14, 16, 35]",459159,en,Hotel Transylvania: Puppy!,The residents of Hotel Transylvania find their world turned upside-down when youngster Dennis gets a surprise monster-sized pet.,4.331,/sNxIazoQqDQukfQqkYxTgx9DRbu.jpg,2017-07-28,Hotel Transylvania: Puppy!,False,6.2,65
False,/4Ol5RwjIO96w4qC4WlK9iH7G3bf.jpg,"[27, 878, 28, 9648]",327253,en,The Gracefield Incident,"On August 16, 2013, the Supreme Court mandated the CIA to declassify files that had been kept secret for the past 75 years. Visual records of documented paranormal events were released to the public. The following incident took place in Gracefield, Quebec.",6.371,/lWZsV3dJfpWlEQG1Yn7GUSmrxdh.jpg,2017-07-21,The Gracefield Incident,False,5.0,58
False,/AfKs5Tzuvk4rGtsM16aPcdPYesL.jpg,[35],432959,en,Jim Gaffigan: Cinco,America's king of clean comedy delivers wickedly funny jokes in his fifth hour-long special.,4.476,/mfGQ4j5f6AN9HwI0DPXlv5V3gvS.jpg,2017-01-10,Jim Gaffigan: Cinco,False,7.2,45
False,/bhg1MGVy9gVVH6QlyUDRNxtHdpp.jpg,"[10402, 99]",426410,en,Score: A Film Music Documentary,"Music is an integral part of most films, adding emotion and nuance while often remaining invisible to audiences. Matt Schrader shines a spotlight on the overlooked craft of film composing, gathering many of the art form’s most influential practitioners, from Hans Zimmer and Danny Elfman to Quincy Jones and Randy Newman, to uncover their creative process. Tracing key developments in the evolution of music in film, and exploring some of cinema’s most iconic soundtracks, 'Score' is an aural valentine for film lovers.",4.844,/hlass0Pq1j6WD6JAucH3mXBoWo4.jpg,2017-06-16,Score: A Film Music Documentary,False,7.6,49
False,/b48yqgYlaA9EZdCjh1EAtPe12fY.jpg,"[28, 18, 10752]",405965,en,An Ordinary Man,A war criminal in hiding forms a relationship with his only connection to the outside world - his maid.,3.562,/qoGRUnru2gMh8WOK74zINPT80A5.jpg,2017-10-28,An Ordinary Man,False,5.7,23
False,/2GQUfRpv9nQt4DRqS00mFoOBEly.jpg,"[28, 80, 53]",363343,hi,रईस,"Set in the early ’80s and ’90s in Gujarat, India, ‘Raees’ is a fictitious story of a crime lord named Raees, who builds an entire empire from scratch, and a police officer who is determined to bring him down.",6.87,/zFYFUfnoXWxeA3n7v4acEqgk2iE.jpg,2017-01-25,Raees,False,6.6,106
False,/vK0rFoaRZF6ytvf0HknZFYlOf64.jpg,"[10749, 18, 10770]",453217,en,Home for Christmas Day,"Jane is a single mother dead set on protecting her teenage daughter Betsy from the harsh realities of life. When Betsy falls in love with an enlisted man, Jane tries her best to steer Betsy away from heartache. Little does Jane realize she and her daughter are about to learn important lessons of the heart and that taking chances can sometimes lead to the most extraordinary happy endings.",6.781,/cAExvJmnDWFqdJy89Kn90fQP0lo.jpg,2017-07-16,Home for Christmas Day,False,6.3,22
False,/88AMo7QXZxQ2Zt4BsTeUiGiQ8jh.jpg,[27],483737,en,Totem,A teen must resort to extreme measures to protect her family from a supernatural entity.,5.442,/2eMZjYxEGXS6xj4hRtxBmaPPi3z.jpg,2017-11-10,Totem,False,4.7,69
False,/sXY3BM8bmdXHhpmUqe03nSzIDVW.jpg,[99],473408,en,Joan Didion: The Center Will Not Hold,"Griffin Dunne’s years-in-the-making documentary portrait of his aunt Joan Didion moves with the spirit of her uncannily lucid writing: the film simultaneously expands and zeroes in, covering a vast stretch of turbulent cultural history with elegance and candor.",3.97,/eEU7XsmFLR0YqUf0mTHcd0ZRrUI.jpg,2017-10-11,Joan Didion: The Center Will Not Hold,False,7.3,20
False,/8UE6AwT9UE9VBJgqwxihiO1MUXk.jpg,"[28, 878]",443109,en,Oceans Rising,"A scientist builds a massive ark after his warnings of an Earth-destroying flood are ignored. But when it's evident the disaster will occur, those who maligned the scientist now turn to him in desperation, boarding the ark and seeking his answers before the world drowns in a never ending sea.",5.122,/2HbxuEVgQNh5vfQOhB6nifuByPs.jpg,2017-01-19,Oceans Rising,False,3.7,42
False,/at9iu2Is9oFO6wJLzRJFUICwOWb.jpg,[27],459068,en,Darkness Rising,"Nearly murdered as a child by her mother, a woman (Katrina Law) returns to the house where her mom went mad.",5.064,/jPUJ0kRIVDiY9E10r9AEcqKtqmC.jpg,2017-06-30,Darkness Rising,False,3.8,40
False,/ffkIQx9BAijIiJtzeAZW9XDcpv8.jpg,"[80, 18]",453270,it,A Ciambra,"Pio Amato, a 14 year-old member of a small Romani community in  southern Italian town of Gioia Tauro in Calabria, is in a hurry to grow up. Pio follows his older brother Cosimo everywhere and from him he learns how to hustle and how to navigate the streets of his hometown. One night Pio sets out to prove to his brother that he is as good or better than him but, when things go wrong, a series of events will forever change the way he sees the world.",5.075,/bIkDmCWDIWyHAQgKCZpuD5d8kKl.jpg,2018-01-19,The Ciambra,False,7.4,82
False,/5MnVTlHxNq7b3alxoNxp53ocLo3.jpg,[14],458354,en,Sleeping Beauties,"Awakened from a curse after 400 years, Sleeping Beauty (Sarah Hunter) marvels at the wonders of the new century. She falls in love with a famous architect who is working to restore the castle she once lived in, but finds there are enemies plotting against her. Giving in to her long pent-up sexual desires, Beauty cannot resist the lustful advances of both men and women and after 400 years, she's ready to explore everything and everyone!",5.983,/asvkeRwacvjvoUtlGc715tUQlzB.jpg,2017-07-27,Sleeping Beauties,False,4.3,4
False,/6q1QRvsbgWJR1y23IscRPOZ83Bt.jpg,"[35, 18]",426264,en,The Trip to Spain,Steve Coogan and Rob Brydon embark on a road trip along the coast of Spain.,5.021,/74RSdBGWdtbdClQ2NGJeTTyO7fq.jpg,2017-04-22,The Trip to Spain,False,6.8,47
False,/fGQr2maSQIjLw4RET6XzOKKO9bo.jpg,"[28, 878, 27]",461955,en,Rakka,"""Rakka"" is the story of broken humanity following the invasion of a technologically superior alien species. Bleak harrowing and unrelenting, the humans we meet must find enough courage to go on fighting.",6.828,/4wVeP9BHsQul7CRgdrfiUt1Rds1.jpg,2017-06-14,Rakka,False,7.1,99
False,/hRIWza0mi7myTxZWq7I5GoBWFd1.jpg,"[28, 12, 878]",393306,en,The Veil,"Set in a war-torn land where tribal factions live in fear of annihilation, the film tells the story of a deadly warrior leading a destructive war campaign. When he is betrayed by his own and left for dead, he is healed by a mysterious princess and taken in by a hidden tribe that believes he was chosen to wage a final battle.",5.512,/pAQ9ovHthGEWv61DKil8GjQeEcP.jpg,2017-01-19,The Veil,False,4.0,47
False,/AM0ZMglFUJknBXBUiPgEVEe0iQ.jpg,"[18, 9648, 53]",393172,en,Bottom of the World,"A mysterious disappearance of a young woman leads her boyfriend on a journey for truth and perhaps his own unknown reality in this dark, hypnotic mystery that transcends the limitations of traditional narrative.",4.372,/wUgO5MVsdFIqwvuako55rnfoM1Y.jpg,2017-03-31,Bottom of the World,False,5.3,59
False,/masCZracUmRKVDFovPoFo9ePNry.jpg,"[16, 14, 10752]",492606,en,Game of Thrones: Conquest & Rebellion,HBO's animated history of Westeros brings to life all the events that shaped the Seven Kingdoms in the thousands of years before Game of Thrones' story begins.,3.838,/b3HXxFnhy0pamuDY9rqJ4mk7L1t.jpg,2017-12-12,Game of Thrones: Conquest & Rebellion,False,8.1,41
False,/1GcgM16djXnnnVc6dXApgg9OfNr.jpg,"[18, 53]",492258,en,Cocaine Godmother,"At the age of 17, Griselda Blanco, made her way to the U.S. with a fake passport with her first husband Carlos. Living in Queens with her three sons, Griselda became enticed by the money the drug world offered, and quickly became embroiled with local drug runners. Griselda masterminded the use of beautiful women, the elderly and children as the mules and created false-bottom suitcases to smuggle cocaine from Colombia.",4.185,/BYD6DT0dwtLFXkuCk7SqfAZrqv.jpg,2018-01-20,Cocaine Godmother,False,6.7,36
False,/1bjoIR8Yb3qDrflszNWlz9uo2JF.jpg,"[28, 18, 27, 53]",433945,ja,東京喰種 トーキョーグール,"A Tokyo college student is attacked by a ghoul, a super-powered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run.",4.961,/tMs8ZJ2dNJ0fExF7ISXJvOov4Y6.jpg,2017-07-16,Tokyo Ghoul,False,6.3,87
False,/7Sd7DcY9xQoH2uXTbWuhgnse2e1.jpg,[99],411007,en,Abacus: Small Enough to Jail,"The incredible saga of the Chinese immigrant Sung family, owners of Abacus Federal Savings of Chinatown, New York. Accused of mortgage fraud by Manhattan District Attorney Cyrus R. Vance, Jr., Abacus becomes the only U.S. bank to face criminal charges in the wake of the 2008 financial crisis. The indictment and subsequent trial forces the Sung family to defend themselves – and their bank’s legacy in the Chinatown community – over the course of a five-year legal battle.",5.638,/4u00FWfh8dUruEB7C3KCaV3FtOH.jpg,2017-05-19,Abacus: Small Enough to Jail,False,7.2,43
False,/oKbRCdh9PgXUhGW4uTHQmnLwXUJ.jpg,"[18, 53]",396940,en,Super Dark Times,"Teenagers Zach and Josh have been best friends their whole lives, but when a gruesome accident leads to a cover-up, the secret drives a wedge between them and propels them down a rabbit hole of escalating paranoia and violence.",6.352,/7sJoNicLJ9EZwetp5ucjS8qQ9g1.jpg,2017-09-29,Super Dark Times,False,6.4,281
False,/9kxEuXr6FJOZNty5KKwnaitHVDk.jpg,[28],438455,en,The Archer,"Archer champion Lauren Pierce escapes a corrupt juvenile correctional facility with Rebecca, a fierce but alluring inmate. Together they must survive a desperate warden who is bow-hunting his prey to make sure his secret stays buried",5.355,/qTwm9XOaLAW1JYcJLwnN3jU4YAk.jpg,2017-03-11,The Archer,False,5.6,42
False,/MT0EYPfnUeuXj8Eo17rZbPHRVW.jpg,"[28, 53]",450519,en,The Fast and the Fierce,"When terrorists plant a bomb on a commercial flight, the passengers aboard the plane must fight to keep the plane in the air and all the passengers alive: the bomb is rigged to detonate whenever the plane dips below 800 feet.",4.985,/fAYKtIztKn3JaF4Na2l5jYhNCDb.jpg,2017-04-04,The Fast and the Fierce,False,5.8,13
False,/eueGmwuhRC5dVEM5mJ8luHsi15g.jpg,"[53, 27, 9648]",359228,en,Ghost House,A young couple go on an adventurous vacation to Thailand only to find themselves haunted by a malevolent spirit after naively disrespecting a Ghost House.,6.418,/7EPOZv9bQjNVjFvk8lPGkcTubgO.jpg,2017-08-25,Ghost House,False,5.0,69
False,/rYyIqfx6BNpb7s0Wy5OqddCsKEQ.jpg,"[28, 18]",440777,en,Female Fight Club,A former fighter reluctantly returns to the life she abandoned in order to help her sister survive the sadistic world of illegal fighting and the maniac who runs it.,6.443,/iI9c8XNdPuwB4RYbHMd62QNhoRK.jpg,2017-08-08,Female Fight Club,False,5.3,20
False,/oblNjaUZj1zN8mkvbchjPcT3LfS.jpg,"[35, 18, 10749]",459225,en,The Feels,A lesbian bachelorette weekend goes awry when one of the brides admits she's never had an orgasm.,4.24,/kGXlwLByql7ReWfxLEmJxzHDKeG.jpg,2017-06-09,The Feels,False,5.7,55
False,/j1uA9K21Dhu86mqyys8vqGgAB3u.jpg,[99],455008,en,AlphaGo,"The ancient Chinese game of Go has long been considered a grand challenge for artificial intelligence. Yet in 2016, Google's DeepMind team announced that they would be taking on Lee Sedol, the world's most elite Go champion. AlphaGo chronicles the team as it prepares to test the limits of its rapidly-evolving AI technology. The film pits man against machine, and reveals as much about the workings of the human mind as it does the future of AI.",5.257,/mBebKFGVVuv6tDnUP8F5wKqxuNA.jpg,2017-04-21,AlphaGo,False,8.0,39
