adult;backdrop_path;genre_ids;id;original_language;original_title;overview;popularity;poster_path;release_date;title;video;vote_average;vote_count
False;/bOGkgRGdhrBYJSLpXaxhXVstddV.jpg;[28, 12, 878];299536;en;Avengers: Infinity War;As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.;79.496;/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg;2018-04-27;Avengers: Infinity War;False;8.3;15900
False;/sXSp6NSu3fl52jrAc5l7bUPEBWy.jpg;[28, 12, 878];540247;en;Jurassic Galaxy;In the near future, a ship of space explorers crash land on an unknown planet. They're soon met with some of their worst fears as they discover the planet is inhabited by monstrous dinosaurs.;79.5;/uo7u2bRW6KPPe4ipTUqx5RZ9rwC.jpg;2018-08-20;Jurassic Galaxy;False;2.7;19
False;/30fm0P60ESjzc5x1CJeTh7padAf.jpg;[18, 10749];571346;en;American Kamasutra;A young woman finds herself involved in a dangerous love triangle when she gets involved with the writer of a popular steamy novel.;57.582;/6PlW27Cnaa6mtKeDxZPPBStfRiH.jpg;2018-12-13;American Kamasutra;False;5.3;13
False;/uUiId6cG32JSRI6RyBQSvQtLjz2.jpg;[28, 12, 16, 878, 35];324857;en;Spider-Man: Into the Spider-Verse;"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.";45.046;/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg;2018-12-14;Spider-Man: Into the Spider-Verse;False;8.4;5721
False;/6ELJEzQJ3Y45HczvreC3dg0GV5R.jpg;[28, 12, 14, 878];284054;en;Black Panther;King T'Challa returns home from America to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantel to join with girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.;39.154;/uxzzxijgPIY7slzFvMotPv8wjKA.jpg;2018-02-16;Black Panther;False;7.4;13695
False;/9QusGjxcYvfPD1THg6oW3RLeNn7.jpg;[28, 12, 14];297802;en;Aquaman;Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.;32.421;/5Kg76ldv7VxeX9YlcQXiowHgdX6.jpg;2018-12-21;Aquaman;False;6.8;7419
False;/3P52oz9HPQWxcwHOwxtyrVV1LKi.jpg;[28, 12, 35];383498;en;Deadpool 2;Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.;34.97;/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg;2018-05-10;Deadpool 2;False;7.5;9914
False;/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg;[28, 878];335983;en;Venom;Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.;36.3;/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg;2018-10-05;Venom;False;6.6;7486
False;/6P3c80EOm7BodndGBUAJHHsHKrp.jpg;[28, 12, 35, 878];363088;en;Ant-Man and the Wasp;Just when his time under house arrest is about to end, Scott Lang once again puts his freedom at risk to help Hope van Dyne and Dr. Hank Pym dive into the quantum realm and try to accomplish, against time and any chance of success, a very dangerous rescue mission.;29.39;/eivQmS3wqzqnQWILHLc4FsEfcXP.jpg;2018-07-06;Ant-Man and the Wasp;False;7.0;7314
False;/3s9O5af2xWKWR5JzP2iJZpZeQQg.jpg;[28, 12, 878];351286;en;Jurassic World: Fallen Kingdom;Three years after the demise of Jurassic World, a volcanic eruption threatens the remaining dinosaurs on the isla Nublar, so Claire Dearing, the former park manager, recruits Owen Grady to help prevent the extinction of the dinosaurs once again.;31.545;/c9XxwwhPHdaImA2f1WEfEsbhaFB.jpg;2018-06-22;Jurassic World: Fallen Kingdom;False;6.5;6606
