adult;budget;genre_id;genre_name;id;original_language;original_title;popularity;revenue;runtime;status;vote_average;vote_count
False;250000000;28.0;Action;122917;en;The Hobbit: The Battle of the Five Armies;52.047;956019788;144;Released;7.3;8981
False;250000000;12.0;Adventure;122917;en;The Hobbit: The Battle of the Five Armies;52.047;956019788;144;Released;7.3;8981
False;250000000;14.0;Fantasy;122917;en;The Hobbit: The Battle of the Five Armies;52.047;956019788;144;Released;7.3;8981
False;20000000;28.0;Action;245891;en;John Wick;45.763;88761661;101;Released;7.2;11251
False;20000000;53.0;Thriller;245891;en;John Wick;45.763;88761661;101;Released;7.2;11251
False;170000000;28.0;Action;118340;en;Guardians of the Galaxy;40.281;772776600;121;Released;7.9;19223
False;170000000;878.0;Science Fiction;118340;en;Guardians of the Galaxy;40.281;772776600;121;Released;7.9;19223
False;170000000;12.0;Adventure;118340;en;Guardians of the Galaxy;40.281;772776600;121;Released;7.9;19223
False;9000000;27.0;Horror;238636;en;The Purge: Anarchy;53.202;111928365;104;Released;6.6;4054
False;9000000;53.0;Thriller;238636;en;The Purge: Anarchy;53.202;111928365;104;Released;6.6;4054
False;165000000;12.0;Adventure;157336;en;Interstellar;44.529;675120017;169;Released;8.3;20130
False;165000000;18.0;Drama;157336;en;Interstellar;44.529;675120017;169;Released;8.3;20130
False;165000000;878.0;Science Fiction;157336;en;Interstellar;44.529;675120017;169;Released;8.3;20130
False;180000000;14.0;Fantasy;102651;en;Maleficent;32.992;758539785;97;Released;7.1;8969
False;180000000;12.0;Adventure;102651;en;Maleficent;32.992;758539785;97;Released;7.1;8969
False;180000000;28.0;Action;102651;en;Maleficent;32.992;758539785;97;Released;7.1;8969
False;180000000;10751.0;Family;102651;en;Maleficent;32.992;758539785;97;Released;7.1;8969
False;180000000;10749.0;Romance;102651;en;Maleficent;32.992;758539785;97;Released;7.1;8969
False;55000000;53.0;Thriller;156022;en;The Equalizer;32.447;192330738;132;Released;7.2;5353
False;55000000;28.0;Action;156022;en;The Equalizer;32.447;192330738;132;Released;7.2;5353
False;55000000;80.0;Crime;156022;en;The Equalizer;32.447;192330738;132;Released;7.2;5353
False;125000000;878.0;Science Fiction;131631;en;The Hunger Games: Mockingjay - Part 1;31.742;752100229;123;Released;6.8;10714
False;125000000;12.0;Adventure;131631;en;The Hunger Games: Mockingjay - Part 1;31.742;752100229;123;Released;6.8;10714
False;125000000;53.0;Thriller;131631;en;The Hunger Games: Mockingjay - Part 1;31.742;752100229;123;Released;6.8;10714
False;165000000;12.0;Adventure;177572;en;Big Hero 6;35.92;657818612;102;Released;7.8;10802
False;165000000;10751.0;Family;177572;en;Big Hero 6;35.92;657818612;102;Released;7.8;10802
False;165000000;16.0;Animation;177572;en;Big Hero 6;35.92;657818612;102;Released;7.8;10802
False;165000000;28.0;Action;177572;en;Big Hero 6;35.92;657818612;102;Released;7.8;10802
False;165000000;35.0;Comedy;177572;en;Big Hero 6;35.92;657818612;102;Released;7.8;10802
False;14000000;36.0;History;205596;en;The Imitation Game;33.336;233555708;113;Released;8.1;11125
False;14000000;18.0;Drama;205596;en;The Imitation Game;33.336;233555708;113;Released;8.1;11125
False;14000000;53.0;Thriller;205596;en;The Imitation Game;33.336;233555708;113;Released;8.1;11125
False;14000000;10752.0;War;205596;en;The Imitation Game;33.336;233555708;113;Released;8.1;11125
False;61000000;9648.0;Mystery;210577;en;Gone Girl;32.813;369330363;149;Released;7.9;11303
