adult;backdrop_path;genre_ids;id;original_language;original_title;overview;popularity;poster_path;release_date;title;video;vote_average;vote_count
False;/qhH3GyIfAnGv1pjdV3mw03qAilg.jpg;[28, 12, 14];122917;en;The Hobbit: The Battle of the Five Armies;Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.;52.047;/9zRzFJuaj0CHIOhAkcCcFTvyu2X.jpg;2014-12-17;The Hobbit: The Battle of the Five Armies;False;7.3;8981
False;/iJlGxN0p1suzloBGvvBu3QSSlhT.jpg;[28, 53];245891;en;John Wick;Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.;45.763;/5vHssUeVe25bMrof1HyaPyWgaP.jpg;2014-10-24;John Wick;False;7.2;11251
False;/kHex2XdOmGtazk1VfJjp4bl7BIc.jpg;[28, 12, 878];118340;en;Guardians of the Galaxy;Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.;40.281;/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg;2014-08-01;Guardians of the Galaxy;False;7.9;19223
False;/zWGAnbxjjwY3xFGuOeR26LGbBlG.jpg;[27, 53];238636;en;The Purge: Anarchy;One night per year, the government sanctions a 12-hour period in which citizens can commit any crime they wish -- including murder -- without fear of punishment or imprisonment. Leo, a sergeant who lost his son, plans a vigilante mission of revenge during the mayhem. However, instead of a death-dealing avenger, he becomes the unexpected protector of four innocent strangers who desperately need his help if they are to survive the night.;53.202;/l1DRl40x2OWUoPP42v8fjKdS1Z3.jpg;2014-07-18;The Purge: Anarchy;False;6.6;4054
False;/xu9zaAevzQ5nnrsXN6JcahLnG4i.jpg;[12, 18, 878];157336;en;Interstellar;Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.;44.529;/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg;2014-11-05;Interstellar;False;8.3;20130
False;/zsGiTcMZ9yp2as3FmPMgZyil5mc.jpg;[28, 12, 14, 10749, 10751];102651;en;Maleficent;A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.;32.992;/1cFVCUYKSBuEUDoVftKvqcfuIgc.jpg;2014-05-30;Maleficent;False;7.1;8969
False;/vbl4ZVqelrrzJ16fdDOq9siWbpi.jpg;[28, 80, 53];156022;en;The Equalizer;McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.;32.447;/2eQfjqlvPAxd9aLDs8DvsKLnfed.jpg;2014-09-26;The Equalizer;False;7.2;5353
False;/4PwyB0ErucIANzW24Kori71J6gU.jpg;[878, 12, 53];131631;en;The Hunger Games: Mockingjay - Part 1;Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.;31.742;/gj282Pniaa78ZJfbaixyLXnXEDI.jpg;2014-11-21;The Hunger Games: Mockingjay - Part 1;False;6.8;10714
False;/wXBCE6sS94zb8IlnQ51OPApgfhC.jpg;[28, 12, 16, 35, 10751];177572;en;Big Hero 6;The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.;35.92;/9gLu47Zw5ertuFTZaxXOvNfy78T.jpg;2014-11-07;Big Hero 6;False;7.8;10802
False;/qcb6z1HpokTOKdjqDTsnjJk0Xvg.jpg;[18, 36, 53, 10752];205596;en;The Imitation Game;Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.;33.336;/noUp0XOqIcmgefRnRZa1nhtRvWO.jpg;2014-12-19;The Imitation Game;False;8.1;11125
False;/8ZNGBfGoN3uI5Akj5vEUDMxvmGO.jpg;[18, 9648, 53];210577;en;Gone Girl;With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.;32.813;/gdiLTof3rbPDAmPaCf4g6op46bj.jpg;2014-10-03;Gone Girl;False;7.9;11303
False;/lkOZcsXcOLZYeJ2YxJd3vSldvU4.jpg;[28, 9648, 878, 53];198663;en;The Maze Runner;Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.;31.814;/coss7RgL0NH6g4fC2s5atvf3dFO.jpg;2014-09-19;The Maze Runner;False;7.1;11257
False;/pKawqrtCBMmxarft7o1LbEynys7.jpg;[28, 18, 10752];228150;en;Fury;In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.;27.98;/fa4PxEPRKWRyjzYje1jM4m30qzd.jpg;2014-10-17;Fury;False;7.4;7130
False;/cU6R5EgOEmiIVKommjnU89hsvcD.jpg;[28, 53];260346;en;Taken 3;Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.;31.743;/ikDwR3i2bczqnRf1urJTy77YTFf.jpg;2015-01-09;Taken 3;False;6.2;3629
False;/AsJVim0Hk3KbQPbfjyijfjqmaoZ.jpg;[35, 18];194662;en;Birdman;A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.;26.374;/rSZs93P0LLxqlVEbI001UKoeCQC.jpg;2014-10-17;Birdman;False;7.4;8383
False;/6bbZ6XyvgfjhQwbplnUh1LSj1ky.jpg;[18, 10402];244786;en;Whiplash;Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.;32.733;/lIv1QinFqz4dlp5U4lQ6HaiskOZ.jpg;2014-10-10;Whiplash;False;8.4;8624
False;/gy5ItoprIPOT7Z1c2YhNhart39l.jpg;[28, 18, 14, 27, 10752];49017;en;Dracula Untold;Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire, Dracula.;20.198;/4oy4e0DP6LRwRszfx8NY8EYBj8V.jpg;2014-10-03;Dracula Untold;False;6.2;3926
False;/OqCXGt5nl1cHPeotxCDvXLLe6p.jpg;[28, 12, 35, 14, 878];98566;en;Teenage Mutant Ninja Turtles;The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan.;27.402;/oDL2ryJ0sV2bmjgshVgJb3qzvwp.jpg;2014-08-08;Teenage Mutant Ninja Turtles;False;5.8;4519
False;/g6WT9zxATzTy9NVu2xwbxDAxvjd.jpg;[28, 12, 878];157350;en;Divergent;In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.;18.999;/yTtx2ciqk4XdN1oKhMMDy3f5ue3.jpg;2014-03-21;Divergent;False;6.9;8802
False;/gktL2rfE7d1xrwPSSTohxLOjLSs.jpg;[80, 18, 53];242582;en;Nightcrawler;When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.;22.063;/8oPY6ULFOTbAEskySNhgsUIN4fW.jpg;2014-10-31;Nightcrawler;False;7.7;6338
False;/8b9mOlxer8DVw4k368IXNG5HPBI.jpg;[12, 35, 14, 10751];181533;en;Night at the Museum: Secret of the Tomb;When the magic powers of The Tablet of Ahkmenrah begin to die out, Larry Daley spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.;23.888;/tWwASv4CU1Au1IukacdSUewDCV3.jpg;2014-12-19;Night at the Museum: Secret of the Tomb;False;6.1;3826
False;/khzRw7ZDE3NIrYpe0RYyB864FPT.jpg;[80, 28, 53];189;en;Sin City: A Dame to Kill For;Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.;24.725;/k80qKrJ0qQ6ocVo5N932stNSg6j.jpg;2014-08-22;Sin City: A Dame to Kill For;False;6.3;2361
False;/fBYnaVOcc2Ghfkv473z0xdBRQ0m.jpg;[12, 16, 35, 10751];270946;en;Penguins of Madagascar;Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.;24.163;/pRer59eyY4rjkLPeKXKo7fPxCHH.jpg;2014-11-26;Penguins of Madagascar;False;6.4;2442
False;/iAX8lPlDEeGHatw79k1LfGLbTi2.jpg;[12, 14];68737;en;Seventh Son;John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?;21.221;/zzfzErL8HIyNTRqBHqZAVvEKJ54.jpg;2015-02-06;Seventh Son;False;5.3;1635
False;/7mgKeg18Qml5nJQa56RBZO7dIu0.jpg;[28, 878];137113;en;Edge of Tomorrow;Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.;18.7;/tpoVEYvm6qcXueZrQYJNRLXL88s.jpg;2014-06-06;Edge of Tomorrow;False;7.6;8626
False;/r3IsWMkIGO20NP3Zcm5HFqBW6w5.jpg;[28, 18, 878, 53];119450;en;Dawn of the Planet of the Apes;A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.;20.965;/2EUAUIu5lHFlkj5FRryohlH6CRO.jpg;2014-07-11;Dawn of the Planet of the Apes;False;7.3;7478
