adult;backdrop_path;genre_ids;id;original_language;original_title;overview;popularity;poster_path;release_date;title;video;vote_average;vote_count
False;/xJWPZIYOEFIjZpBL7SVBGnzRYXp.jpg;[12, 16, 35, 10402, 10751];330457;en;Frozen II;Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.;367.019;/qdfARIhgpgZOBh3vfNhWS4hmSo3.jpg;2019-11-22;Frozen II;False;7.0;426
False;/nGJpQCAn2NKeDoEflLI5DIvsqoQ.jpg;[35, 18, 53];466272;en;Once Upon a Time... in Hollywood;A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.;290.502;/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg;2019-07-26;Once Upon a Time... in Hollywood;False;7.5;2840
False;/5myQbDzw3l8K9yofUXRJ4UTVgam.jpg;[28, 12, 878];429617;en;Spider-Man: Far from Home;Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.;124.664;/lcq8dVxeeOqHvvgcte707K0KVx5.jpg;2019-07-02;Spider-Man: Far from Home;False;7.6;5184
False;/n6bUvigpRFqSwmPp1m2YADdbRBc.jpg;[80, 18, 53];475557;en;Joker;During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.;165.273;/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg;2019-10-04;Joker;False;8.4;6031
False;/riTANvQ8GKmQbgtC1ps3OfkU43A.jpg;[28, 878];290859;en;Terminator: Dark Fate;Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.;172.546;/vqzNJRH4YyquRiWxCCOH0aXggHI.jpg;2019-11-01;Terminator: Dark Fate;False;6.3;719
False;/1RDto0tLo8Fhq7OcwgDaM7nECb7.jpg;[80, 18, 36];398978;en;The Irishman;Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.;159.268;/mbm8k3GFhXS0ROd9AD1gqYbIFbM.jpg;2019-11-01;The Irishman;False;8.3;466
False;/mBBJ3N3an8FLkp0ZpGgIJwHKhBP.jpg;[35, 80, 18];540901;en;Hustlers;A crew of savvy former strip club employees band together to turn the tables on their Wall Street clients.;153.971;/zBhv8rsLOfpFW2M5b6wW78Uoojs.jpg;2019-09-13;Hustlers;False;6.2;505
False;/sxPycUAaLJJGq2lhhgzR96ePaO0.jpg;[878];645541;en;Ellipse;A man and his dog are stranded on a volatile, oval-shaped planet and are forced to adapt and escape before time destroys them both.;176.219;/4I0CQfnMy6sRR7QhgqsXR16TmIs.jpg;2019-11-05;Ellipse;False;3.6;11
False;/AbRYlvwAKHs0YuyNO6NX9ofq4l6.jpg;[35, 9648, 53];546554;en;Knives Out;When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.;110.308;/pThyQovXQrw2m0s9x82twj48Jq4.jpg;2019-11-27;Knives Out;False;7.9;84
False;/k2WyDw2NTUIWnuEs5gT7wgrCQg6.jpg;[28];423204;en;Angel Has Fallen;After the events in the previous film, Secret Service agent Mike Banning finds himself framed for an assassination attempt on the President. Pursued by his own agency and the FBI, Banning races to clear his name and uncover the real terrorist threat which has set its sights on Air Force One.;100.664;/fapXd3v9qTcNBTm39ZC4KUVQDNf.jpg;2019-08-23;Angel Has Fallen;False;5.8;700
