adult;budget;genre_id;genre_name;id;original_language;original_title;popularity;revenue;runtime;status;vote_average;vote_count
False;58000000;28.0;Action;293660;en;Deadpool;36.387;783100000;108;Released;7.6;21285
False;58000000;12.0;Adventure;293660;en;Deadpool;36.387;783100000;108;Released;7.6;21285
False;58000000;35.0;Comedy;293660;en;Deadpool;36.387;783100000;108;Released;7.6;21285
False;240000000;12.0;Adventure;271110;en;Captain America: Civil War;34.034;1153304495;147;Released;7.4;15008
False;240000000;28.0;Action;271110;en;Captain America: Civil War;34.034;1153304495;147;Released;7.4;15008
False;240000000;878.0;Science Fiction;271110;en;Captain America: Civil War;34.034;1153304495;147;Released;7.4;15008
False;30000000;35.0;Comedy;313369;en;La La Land;26.93;445435700;129;Released;7.9;10804
False;30000000;18.0;Drama;313369;en;La La Land;26.93;445435700;129;Released;7.9;10804
False;30000000;10749.0;Romance;313369;en;La La Land;26.93;445435700;129;Released;7.9;10804
False;30000000;10402.0;Music;313369;en;La La Land;26.93;445435700;129;Released;7.9;10804
False;180000000;12.0;Adventure;259316;en;Fantastic Beasts and Where to Find Them;28.779;809342332;133;Released;7.4;12941
False;180000000;10751.0;Family;259316;en;Fantastic Beasts and Where to Find Them;28.779;809342332;133;Released;7.4;12941
False;180000000;14.0;Fantasy;259316;en;Fantastic Beasts and Where to Find Them;28.779;809342332;133;Released;7.4;12941
False;150000000;16.0;Animation;269149;en;Zootopia;33.78;1023784195;109;Released;7.7;10677
False;150000000;12.0;Adventure;269149;en;Zootopia;33.78;1023784195;109;Released;7.7;10677
False;150000000;10751.0;Family;269149;en;Zootopia;33.78;1023784195;109;Released;7.7;10677
False;150000000;35.0;Comedy;269149;en;Zootopia;33.78;1023784195;109;Released;7.7;10677
False;165000000;28.0;Action;284052;en;Doctor Strange;28.431;677700000;115;Released;7.4;13673
False;165000000;12.0;Adventure;284052;en;Doctor Strange;28.431;677700000;115;Released;7.4;13673
False;165000000;14.0;Fantasy;284052;en;Doctor Strange;28.431;677700000;115;Released;7.4;13673
False;165000000;878.0;Science Fiction;284052;en;Doctor Strange;28.431;677700000;115;Released;7.4;13673
False;250000000;28.0;Action;209112;en;Batman v Superman: Dawn of Justice;27.261;873260194;151;Released;5.8;12516
False;250000000;12.0;Adventure;209112;en;Batman v Superman: Dawn of Justice;27.261;873260194;151;Released;5.8;12516
False;250000000;14.0;Fantasy;209112;en;Batman v Superman: Dawn of Justice;27.261;873260194;151;Released;5.8;12516
False;178000000;28.0;Action;246655;en;X-Men: Apocalypse;20.309;543934787;144;Released;6.5;8840
False;178000000;12.0;Adventure;246655;en;X-Men: Apocalypse;20.309;543934787;144;Released;6.5;8840
False;178000000;878.0;Science Fiction;246655;en;X-Men: Apocalypse;20.309;543934787;144;Released;6.5;8840
False;178000000;14.0;Fantasy;246655;en;X-Men: Apocalypse;20.309;543934787;144;Released;6.5;8840
False;10000000;28.0;Action;316727;en;The Purge: Election Year;19.971;118587880;105;Released;6.3;3156
False;10000000;27.0;Horror;316727;en;The Purge: Election Year;19.971;118587880;105;Released;6.3;3156
False;10000000;53.0;Thriller;316727;en;The Purge: Election Year;19.971;118587880;105;Released;6.3;3156
False;13000000;18.0;Drama;376290;en;Miss Sloane;16.118;9101546;132;Released;7.5;1007
False;13000000;53.0;Thriller;376290;en;Miss Sloane;16.118;9101546;132;Released;7.5;1007
False;47000000;18.0;Drama;329865;en;Arrival;25.42;203388186;116;Released;7.5;11114
False;47000000;878.0;Science Fiction;329865;en;Arrival;25.42;203388186;116;Released;7.5;11114
