adult;budget;id;original_language;original_title;popularity;production_companies_id;production_companies_logo_path;production_companies_name;production_companies_origin_country;revenue;runtime;status;vote_average;vote_count
False;0;330457;en;Frozen II;367.019;6125.0;/tVPmo07IHhBs4HuilrcV0yujsZ9.png;Walt Disney Animation Studios;US;415845279;104;Released;7.1;452
False;0;330457;en;Frozen II;367.019;2.0;/wdrCwmRnLFJhEoH8GSfymY85KHT.png;Walt Disney Pictures;US;415845279;104;Released;7.1;452
False;95000000;466272;en;Once Upon a Time... in Hollywood;290.502;437.0;/nu20mtwbEIhUNnQ5NXVhHsNknZj.png;Heyday Films;GB;366612689;161;Released;7.5;2856
False;95000000;466272;en;Once Upon a Time... in Hollywood;290.502;5.0;/71BqEFAF4V3qjjMPCpLuyJFB9A.png;Columbia Pictures;US;366612689;161;Released;7.5;2856
False;160000000;429617;en;Spider-Man: Far from Home;124.664;420.0;/hUzeosd33nzE5MCNsZxCGEKTXaQ.png;Marvel Studios;US;1131450163;129;Released;7.6;5193
False;160000000;429617;en;Spider-Man: Far from Home;124.664;5.0;/71BqEFAF4V3qjjMPCpLuyJFB9A.png;Columbia Pictures;US;1131450163;129;Released;7.6;5193
False;160000000;429617;en;Spider-Man: Far from Home;124.664;84041.0;;Pascal Pictures;US;1131450163;129;Released;7.6;5193
False;160000000;429617;en;Spider-Man: Far from Home;124.664;34.0;/GagSvqWlyPdkFHMfQ3pNq6ix9P.png;Sony Pictures;US;1131450163;129;Released;7.6;5193
False;55000000;475557;en;Joker;165.273;9993.0;/2Tc1P3Ac8M479naPp1kYT3izLS5.png;DC Entertainment;US;1016599593;122;Released;8.4;6042
False;55000000;475557;en;Joker;165.273;174.0;/ky0xOc5OrhzkZ1N6KyUxacfQsCk.png;Warner Bros. Pictures;US;1016599593;122;Released;8.4;6042
False;55000000;475557;en;Joker;165.273;429.0;/2Tc1P3Ac8M479naPp1kYT3izLS5.png;DC Comics;US;1016599593;122;Released;8.4;6042
False;55000000;475557;en;Joker;165.273;83036.0;;Joint Effort;US;1016599593;122;Released;8.4;6042
False;55000000;475557;en;Joker;165.273;79.0;/tpFpsqbleCzEE2p5EgvUq6ozfCA.png;Village Roadshow Pictures;US;1016599593;122;Released;8.4;6042
False;55000000;475557;en;Joker;165.273;13240.0;/aTc07YaNHo8WNgkQSnvLmG6w4nW.png;Bron Studios;CA;1016599593;122;Released;8.4;6042
False;185000000;290859;en;Terminator: Dark Fate;172.546;574.0;/iB6GjNVHs5hOqcEYt2rcjBqIjki.png;Lightstorm Entertainment;US;233685077;128;Released;6.3;720
False;185000000;290859;en;Terminator: Dark Fate;172.546;82819.0;/5Z8WWr0Lf1tInVWwJsxPP0uMz9a.png;Skydance Media;US;233685077;128;Released;6.3;720
False;185000000;290859;en;Terminator: Dark Fate;172.546;25.0;/qZCc1lty5FzX30aOCVRBLzaVmcp.png;20th Century Fox;US;233685077;128;Released;6.3;720
False;185000000;290859;en;Terminator: Dark Fate;172.546;4.0;/fycMZt242LVjagMByZOLUGbCvv3.png;Paramount;US;233685077;128;Released;6.3;720
False;185000000;290859;en;Terminator: Dark Fate;172.546;81620.0;/gNp4dfuBOXmVWdGKb63NfbFNbFi.png;Tencent Pictures;CN;233685077;128;Released;6.3;720
False;185000000;290859;en;Terminator: Dark Fate;172.546;22213.0;/qx9K6bFWJupwde0xQDwOvXkOaL8.png;TSG Entertainment;US;233685077;128;Released;6.3;720
False;159000000;398978;en;The Irishman;159.268;11391.0;;Tribeca Productions;US;607420;209;Released;8.2;510
False;159000000;398978;en;The Irishman;159.268;23243.0;;Sikelia Productions;US;607420;209;Released;8.2;510
False;159000000;398978;en;The Irishman;159.268;8880.0;/fE7LBw7Jz8R29EABFGCvWNriZxN.png;Winkler Films;US;607420;209;Released;8.2;510
False;20000000;540901;en;Hustlers;153.971;13184.0;/pfUB1a62jSMIqp4Xmaq6z2cgW0B.png;Annapurna Pictures;US;0;107;Released;6.2;513
False;20000000;540901;en;Hustlers;153.971;77152.0;/dKwI9lYFR9tHRHnut7P52gIl3Sb.png;Gloria Sanchez Productions;US;0;107;Released;6.2;513
False;20000000;540901;en;Hustlers;153.971;47729.0;/5NRpQ7xxmODXAjt2pRWUFMLVzvP.png;STX Entertainment;US;0;107;Released;6.2;513
False;0;645541;en;Ellipse;176.219;125862.0;;Bland Productions;;0;76;Released;3.6;11
False;40000000;546554;en;Knives Out;110.308;1632.0;/cisLn1YAUuptXVBa0xjq7ST9cH0.png;Lionsgate;US;0;130;Released;7.9;103
False;40000000;546554;en;Knives Out;110.308;7493.0;/452FO4LcI6lA6bfgl6w1kQYRBlr.png;FilmNation Entertainment;US;0;130;Released;7.9;103
False;40000000;546554;en;Knives Out;110.308;11092.0;;Ram Bergman Productions;US;0;130;Released;7.9;103
False;70000000;423204;en;Angel Has Fallen;100.664;1020.0;/kuUIHNwMec4dwOLghDhhZJzHZTd.png;Millennium Films;US;0;121;Released;5.9;706
False;70000000;423204;en;Angel Has Fallen;100.664;48738.0;;Campbell Grobman Films;US;0;121;Released;5.9;706
False;70000000;423204;en;Angel Has Fallen;100.664;71488.0;;Eclectic Pictures;;0;121;Released;5.9;706
False;70000000;423204;en;Angel Has Fallen;100.664;103331.0;;G-BASE;US;0;121;Released;5.9;706
False;260000000;420818;en;The Lion King;109.735;2.0;/wdrCwmRnLFJhEoH8GSfymY85KHT.png;Walt Disney Pictures;US;1649676757;118;Released;7.1;3728
False;260000000;420818;en;The Lion King;109.735;7297.0;/l29JYQVZbTcjZXoz4CUYFpKRmM3.png;Fairview Entertainment;US;1649676757;118;Released;7.1;3728
False;6000000;567609;en;Ready or Not;93.4;34982.0;/uvTmiRZzNfG88dVXi9hQ7eFNirq.png;Mythology Entertainment;US;57384179;95;Released;6.8;420
False;6000000;567609;en;Ready or Not;93.4;19367.0;;Vinson Films;;57384179;95;Released;6.8;420
False;6000000;567609;en;Ready or Not;93.4;43.0;/4RgIPr55kBakgupWkzdDxqXJEqr.png;Fox Searchlight Pictures;US;57384179;95;Released;6.8;420
False;79000000;474350;en;It Chapter Two;134.555;2723.0;;Lin Pictures;US;447554518;169;Released;6.8;2195
False;79000000;474350;en;It Chapter Two;134.555;12.0;/iaYpEp3LQmb8AfAtmTvpqd4149c.png;New Line Cinema;US;447554518;169;Released;6.8;2195
False;79000000;474350;en;It Chapter Two;134.555;174.0;/ky0xOc5OrhzkZ1N6KyUxacfQsCk.png;Warner Bros. Pictures;US;447554518;169;Released;6.8;2195
False;79000000;474350;en;It Chapter Two;134.555;829.0;/mzpAmEQ5P1gFvdRoNyCk9q8ngiv.png;Vertigo Entertainment;US;447554518;169;Released;6.8;2195
False;79000000;474350;en;It Chapter Two;134.555;87671.0;/kEEGB5Z2XLYeR3AMt3Qds7vMnvM.png;KatzSmith Productions;US;447554518;169;Released;6.8;2195
False;0;568012;ja;ワンピーススタンピード;89.08;5542.0;/ayE4LIqoAWotavo7xdvYngwqGML.png;Toei Animation;JP;0;101;Released;7.3;95
False;0;458897;en;Charlie's Angels;64.453;34.0;/GagSvqWlyPdkFHMfQ3pNq6ix9P.png;Sony Pictures;US;0;118;Released;6.5;143
False;0;458897;en;Charlie's Angels;64.453;5.0;/71BqEFAF4V3qjjMPCpLuyJFB9A.png;Columbia Pictures;US;0;118;Released;6.5;143
False;0;458897;en;Charlie's Angels;64.453;12365.0;;Brownstone Productions;US;0;118;Released;6.5;143
False;0;458897;en;Charlie's Angels;64.453;84792.0;;2.0 Entertainment;US;0;118;Released;6.5;143
False;183000000;420817;en;Aladdin;82.987;2.0;/wdrCwmRnLFJhEoH8GSfymY85KHT.png;Walt Disney Pictures;US;1047612394;128;Released;7.0;4220
False;183000000;420817;en;Aladdin;82.987;2723.0;;Lin Pictures;US;1047612394;128;Released;7.0;4220
False;183000000;420817;en;Aladdin;82.987;118854.0;/g9LPNlQFoDcHjfnvrEqFmeIaDrZ.png;Rideback;US;1047612394;128;Released;7.0;4220
False;183000000;420817;en;Aladdin;82.987;2527.0;/osO7TGmlRMistSQ5JZusPhbKUHk.png;Marc Platt Productions;US;1047612394;128;Released;7.0;4220
False;97600000;359724;en;Ford v Ferrari;78.704;25.0;/qZCc1lty5FzX30aOCVRBLzaVmcp.png;20th Century Fox;US;52437000;152;Released;8.0;430
False;97600000;359724;en;Ford v Ferrari;78.704;7076.0;/8BFxn9NUWSgp0ndih569Gm62xiC.png;Chernin Entertainment;US;52437000;152;Released;8.0;430
False;0;486589;en;Red Shoes and the Seven Dwarfs;79.26;3657.0;;Sidus;KR;0;;Released;5.9;51
False;0;486589;en;Red Shoes and the Seven Dwarfs;79.26;20064.0;/6HvsksiEE7DknfZU5HT1mUs563q.png;Next Entertainment World;KR;0;;Released;5.9;51
False;0;486589;en;Red Shoes and the Seven Dwarfs;79.26;121669.0;;Locus Creative Studios;;0;;Released;5.9;51
False;11363000;496243;ko;기생충;76.234;7036.0;/javbyY0ZCvlFJtly3tpZqf2NwLX.png;CJ Entertainment;KR;114822703;132;Released;8.5;1511
