adult;budget;genre_id;genre_name;id;original_language;original_title;popularity;revenue;runtime;status;vote_average;vote_count
False;0;18.0;Drama;488548;en;The Rainbow Experiment;1.592;0;129;Released;6.0;1
False;0;27.0;Horror;532090;en;The House on Mansfield Street;1.599;0;74;Released;3.5;2
False;0;99.0;Documentary;515651;en;Letter from Masanjia;1.784;0;76;Released;8.0;1
False;0;53.0;Thriller;553685;en;Boyfriend's Deceit;1.587;0;;Released;4.0;2
False;0;99.0;Documentary;516088;en;I Am MLK Jr.;1.288;0;91;Released;0.0;0
False;0;99.0;Documentary;522773;en;A Dangerous Son;2.007;0;90;Released;6.3;4
False;0;99.0;Documentary;533312;en;KSI: Can't Lose;2.395;0;;Released;4.0;3
False;0;18.0;Drama;560689;en;The Human Condition;1.309;0;43;Released;0.0;0
False;0;28.0;Action;570902;en;The Wolf Catcher;1.096;0;80;Released;0.0;0
False;0;99.0;Documentary;512338;en;Satan & Adam;1.594;0;78;Released;7.5;2
False;0;99.0;Documentary;597718;en;A Simple Favor: Gravestone Martinis;1.134;0;20;Released;10.0;1
False;0;53.0;Thriller;510616;en;Stalked by a Reality Star;1.878;0;86;Released;6.3;6
False;0;10770.0;TV Movie;510616;en;Stalked by a Reality Star;1.878;0;86;Released;6.3;6
False;0;35.0;Comedy;554205;zh;无名之辈;3.186;0;108;Released;6.1;14
False;0;53.0;Thriller;554205;zh;无名之辈;3.186;0;108;Released;6.1;14
False;0;99.0;Documentary;570279;en;First to the Moon;1.321;0;121;Released;0.0;0
False;0;80.0;Crime;569381;en;Interference;1.565;0;80;Released;9.0;1
False;0;18.0;Drama;569381;en;Interference;1.565;0;80;Released;9.0;1
False;0;9648.0;Mystery;569381;en;Interference;1.565;0;80;Released;9.0;1
False;0;27.0;Horror;562618;en;Foster Home Seance;1.789;0;80;Released;6.7;3
False;0;53.0;Thriller;557294;en;Zombie at 17;1.748;0;;Released;5.7;3
False;0;99.0;Documentary;597616;en;Scheme Birds;1.275;0;90;Released;8.0;1
False;0;10402.0;Music;91458;en;Imagine;1.312;0;68;Released;7.4;8
False;0;99.0;Documentary;91458;en;Imagine;1.312;0;68;Released;7.4;8
False;0;10770.0;TV Movie;91458;en;Imagine;1.312;0;68;Released;7.4;8
False;0;53.0;Thriller;541342;en;The Riot Act;1.66;0;;Released;6.0;1
False;0;14.0;Fantasy;548146;en;Paradox: A Rusty Lake Film;0.997;0;19;Released;5.0;2
False;0;12.0;Adventure;548146;en;Paradox: A Rusty Lake Film;0.997;0;19;Released;5.0;2
False;0;27.0;Horror;548146;en;Paradox: A Rusty Lake Film;0.997;0;19;Released;5.0;2
False;0;9648.0;Mystery;548146;en;Paradox: A Rusty Lake Film;0.997;0;19;Released;5.0;2
False;0;35.0;Comedy;510069;en;Song of Back and Neck;1.089;0;85;Released;7.5;2
False;0;10749.0;Romance;510069;en;Song of Back and Neck;1.089;0;85;Released;7.5;2
False;0;35.0;Comedy;440559;en;Housesitters;1.665;0;63;Released;6.0;2
False;0;27.0;Horror;440559;en;Housesitters;1.665;0;63;Released;6.0;2
False;0;9648.0;Mystery;529369;en;Hailey Dean Mystery: A Marriage Made for Murder;2.608;0;84;Released;5.8;5
False;0;10770.0;TV Movie;529369;en;Hailey Dean Mystery: A Marriage Made for Murder;2.608;0;84;Released;5.8;5
False;25000;18.0;Drama;565725;en;Necro-Mancing Dennis;1.369;0;73;Released;4.0;3
False;25000;27.0;Horror;565725;en;Necro-Mancing Dennis;1.369;0;73;Released;4.0;3
False;0;27.0;Horror;549877;en;Camp Cold Brook;1.581;0;;Released;0.0;0
False;0;99.0;Documentary;557544;en;Bali: Beats of Paradise;1.865;0;55;Released;2.0;1
False;0;99.0;Documentary;520189;en;Netizens;1.21;0;96;Released;0.0;0
False;0;28.0;Action;532788;en;Action Figures 2;1.591;0;61;Released;7.5;2
False;0;53.0;Thriller;588775;en;Mommy Group Murder;0.946;0;90;Released;8.0;1
False;0;10770.0;TV Movie;588775;en;Mommy Group Murder;0.946;0;90;Released;8.0;1
