adult;budget;id;original_language;original_title;popularity;production_companies_id;production_companies_logo_path;production_companies_name;production_companies_origin_country;revenue;runtime;status;vote_average;vote_count
False;200000000;283995;en;Guardians of the Galaxy Vol. 2;41.423;420.0;/hUzeosd33nzE5MCNsZxCGEKTXaQ.png;Marvel Studios;US;863756051;137;Released;7.7;13591
False;200000000;283995;en;Guardians of the Galaxy Vol. 2;41.423;2.0;/wdrCwmRnLFJhEoH8GSfymY85KHT.png;Walt Disney Pictures;US;863756051;137;Released;7.7;13591
False;200000000;181808;en;Star Wars: The Last Jedi;46.906;1.0;/o86DbpburjxrqAzEDhXZcyE8pDb.png;Lucasfilm;US;1332459537;152;Released;7.0;9271
False;200000000;181808;en;Star Wars: The Last Jedi;46.906;2.0;/wdrCwmRnLFJhEoH8GSfymY85KHT.png;Walt Disney Pictures;US;1332459537;152;Released;7.0;9271
False;200000000;181808;en;Star Wars: The Last Jedi;46.906;11092.0;;Ram Bergman Productions;US;1332459537;152;Released;7.0;9271
False;200000000;181808;en;Star Wars: The Last Jedi;46.906;81306.0;;Formula Film;;1332459537;152;Released;7.0;9271
False;200000000;181808;en;Star Wars: The Last Jedi;46.906;112051.0;;Truenorth Productions;;1332459537;152;Released;7.0;9271
False;200000000;181808;en;Star Wars: The Last Jedi;46.906;112052.0;;Jucumari Films;;1332459537;152;Released;7.0;9271
False;180000000;284053;en;Thor: Ragnarok;36.95;420.0;/hUzeosd33nzE5MCNsZxCGEKTXaQ.png;Marvel Studios;US;853977126;131;Released;7.5;12564
False;180000000;284053;en;Thor: Ragnarok;36.95;2.0;/wdrCwmRnLFJhEoH8GSfymY85KHT.png;Walt Disney Pictures;US;853977126;131;Released;7.5;12564
False;150000000;335984;en;Blade Runner 2049;35.688;79529.0;/gVN3k8emmKy4iV4KREWcCtxusZK.png;Torridon Films;US;259239658;163;Released;7.4;7373
False;150000000;335984;en;Blade Runner 2049;35.688;101829.0;/8IOjCvgjq0zTrtP91cWD3kL2jMK.png;16:14 Entertainment;US;259239658;163;Released;7.4;7373
False;150000000;335984;en;Blade Runner 2049;35.688;1645.0;/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png;Scott Free Productions;GB;259239658;163;Released;7.4;7373
False;150000000;335984;en;Blade Runner 2049;35.688;5.0;/71BqEFAF4V3qjjMPCpLuyJFB9A.png;Columbia Pictures;US;259239658;163;Released;7.4;7373
False;150000000;335984;en;Blade Runner 2049;35.688;1088.0;/9WOE5AQUXbOtLU6GTwfjS8OMF0v.png;Alcon Entertainment;US;259239658;163;Released;7.4;7373
False;150000000;335984;en;Blade Runner 2049;35.688;78028.0;/sTFcDFfJaSVT3sv3DoaZDE4SlGB.png;Thunderbird Entertainment;CA;259239658;163;Released;7.4;7373
False;150000000;335984;en;Blade Runner 2049;35.688;174.0;/ky0xOc5OrhzkZ1N6KyUxacfQsCk.png;Warner Bros. Pictures;US;259239658;163;Released;7.4;7373
False;500000000;141052;en;Justice League;28.076;429.0;/2Tc1P3Ac8M479naPp1kYT3izLS5.png;DC Comics;US;657924295;120;Released;6.2;8157
False;500000000;141052;en;Justice League;28.076;9993.0;/2Tc1P3Ac8M479naPp1kYT3izLS5.png;DC Entertainment;US;657924295;120;Released;6.2;8157
False;500000000;141052;en;Justice League;28.076;41624.0;/wzKxIeQKlMP0y5CaAw25MD6EQmf.png;RatPac-Dune Entertainment;US;657924295;120;Released;6.2;8157
False;500000000;141052;en;Justice League;28.076;9995.0;/mAIGhOYhN4N2N0F7p4dbKhgXf3l.png;Cruel & Unusual Films;US;657924295;120;Released;6.2;8157
False;500000000;141052;en;Justice League;28.076;507.0;/z7H707qUWigbjHnJDMfj6QITEpb.png;Atlas Entertainment;US;657924295;120;Released;6.2;8157
False;500000000;141052;en;Justice League;28.076;102618.0;;Lensbern Productions;;657924295;120;Released;6.2;8157
False;500000000;141052;en;Justice League;28.076;444.0;/42UPdZl6B2cFXgNUASR8hSt9mpS.png;Dune Entertainment;US;657924295;120;Released;6.2;8157
False;500000000;141052;en;Justice League;28.076;174.0;/ky0xOc5OrhzkZ1N6KyUxacfQsCk.png;Warner Bros. Pictures;US;657924295;120;Released;6.2;8157
False;175000000;315635;en;Spider-Man: Homecoming;33.54;420.0;/hUzeosd33nzE5MCNsZxCGEKTXaQ.png;Marvel Studios;US;880166924;133;Released;7.4;12952
False;175000000;315635;en;Spider-Man: Homecoming;33.54;5.0;/71BqEFAF4V3qjjMPCpLuyJFB9A.png;Columbia Pictures;US;880166924;133;Released;7.4;12952
False;175000000;315635;en;Spider-Man: Homecoming;33.54;84041.0;;Pascal Pictures;US;880166924;133;Released;7.4;12952
False;175000000;315635;en;Spider-Man: Homecoming;33.54;34034.0;;LStar Capital;US;880166924;133;Released;7.4;12952
False;175000000;315635;en;Spider-Man: Homecoming;33.54;34.0;/GagSvqWlyPdkFHMfQ3pNq6ix9P.png;Sony Pictures;US;880166924;133;Released;7.4;12952
False;97000000;263115;en;Logan;28.277;431.0;;The Donners' Company;US;616801808;137;Released;7.8;13134
False;97000000;263115;en;Logan;28.277;91797.0;;Hutch Parker Entertainment;US;616801808;137;Released;7.8;13134
False;97000000;263115;en;Logan;28.277;28788.0;;Genre Films;US;616801808;137;Released;7.8;13134
False;97000000;263115;en;Logan;28.277;22213.0;/qx9K6bFWJupwde0xQDwOvXkOaL8.png;TSG Entertainment;US;616801808;137;Released;7.8;13134
False;97000000;263115;en;Logan;28.277;7505.0;/837VMM4wOkODc1idNxGT0KQJlej.png;Marvel Entertainment;US;616801808;137;Released;7.8;13134
False;97000000;263115;en;Logan;28.277;25.0;/qZCc1lty5FzX30aOCVRBLzaVmcp.png;20th Century Fox;US;616801808;137;Released;7.8;13134
